numero,aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,outcomedesc,minoritydesc,tooltp,buttonn
374,0.43,0.38,0.49,<0.001,0,3,3,4,8,1,Other kidney disease,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
375,0.72,0.67,0.77,<0.001,0,4,3,4,8,1,Other kidney disease,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
376,0.42,0.41,0.43,<0.001,0,0,1,0,9,1,RRT < 1 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
377,0.38,0.37,0.39,<0.001,0,1,1,0,9,1,RRT < 1 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
378,0.57,0.5,0.65,<0.001,0,2,1,0,9,1,RRT < 1 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
379,0.42,0.39,0.46,<0.001,0,3,1,0,9,1,RRT < 1 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
380,0.5,0.48,0.52,<0.001,0,4,1,0,9,1,RRT < 1 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
381,0.47,0.46,0.48,<0.001,0,0,2,0,9,1,RRT < 1 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
382,0.43,0.42,0.44,<0.001,0,1,2,0,9,1,RRT < 1 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
383,0.69,0.61,0.79,<0.001,0,2,2,0,9,1,RRT < 1 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
384,0.42,0.39,0.46,<0.001,0,3,2,0,9,1,RRT < 1 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
385,0.55,0.53,0.57,<0.001,0,4,2,0,9,1,RRT < 1 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
386,0.56,0.54,0.57,<0.001,0,0,3,0,9,1,RRT < 1 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
387,0.5,0.49,0.52,<0.001,0,1,3,0,9,1,RRT < 1 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
388,0.69,0.6,0.79,<0.001,0,2,3,0,9,1,RRT < 1 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
389,0.47,0.44,0.51,<0.001,0,3,3,0,9,1,RRT < 1 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
390,0.74,0.71,0.77,<0.001,0,4,3,0,9,1,RRT < 1 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
391,0.42,0.41,0.43,<0.001,0,0,1,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
392,0.37,0.36,0.38,<0.001,0,1,1,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
393,0.59,0.53,0.66,<0.001,0,2,1,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
394,0.43,0.4,0.46,<0.001,0,3,1,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
395,0.51,0.49,0.53,<0.001,0,4,1,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
396,0.48,0.47,0.49,<0.001,0,0,2,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
397,0.43,0.42,0.45,<0.001,0,1,2,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
398,0.73,0.65,0.82,<0.001,0,2,2,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
399,0.43,0.4,0.46,<0.001,0,3,2,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
400,0.58,0.56,0.6,<0.001,0,4,2,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
401,0.55,0.54,0.57,<0.001,0,0,3,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
402,0.5,0.48,0.51,<0.001,0,1,3,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
403,0.68,0.61,0.77,<0.001,0,2,3,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
404,0.46,0.42,0.49,<0.001,0,3,3,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
405,0.72,0.69,0.75,<0.001,0,4,3,1,9,1,RRT 1 to 2.9 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
406,0.4,0.39,0.41,<0.001,0,0,1,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
407,0.36,0.34,0.37,<0.001,0,1,1,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
408,0.56,0.49,0.64,<0.001,0,2,1,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
409,0.42,0.38,0.46,<0.001,0,3,1,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
410,0.48,0.46,0.51,<0.001,0,4,1,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
411,0.45,0.44,0.47,<0.001,0,0,2,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
412,0.41,0.39,0.42,<0.001,0,1,2,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
413,0.7,0.61,0.8,<0.001,0,2,2,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
414,0.41,0.38,0.45,<0.001,0,3,2,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
415,0.55,0.52,0.57,<0.001,0,4,2,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
416,0.52,0.5,0.54,<0.001,0,0,3,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
417,0.47,0.45,0.49,<0.001,0,1,3,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
418,0.66,0.58,0.76,<0.001,0,2,3,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
419,0.45,0.41,0.5,<0.001,0,3,3,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
420,0.67,0.64,0.71,<0.001,0,4,3,2,9,1,RRT 3 to 4.9 yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
421,0.45,0.44,0.46,<0.001,0,0,1,3,9,1,RRT > 5+ yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
422,0.4,0.39,0.41,<0.001,0,1,1,3,9,1,RRT > 5+ yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
423,0.63,0.57,0.7,<0.001,0,2,1,3,9,1,RRT > 5+ yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
424,0.47,0.43,0.5,<0.001,0,3,1,3,9,1,RRT > 5+ yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
425,0.59,0.57,0.62,<0.001,0,4,1,3,9,1,RRT > 5+ yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
426,0.49,0.48,0.5,<0.001,0,0,2,3,9,1,RRT > 5+ yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
427,0.44,0.43,0.45,<0.001,0,1,2,3,9,1,RRT > 5+ yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
428,0.73,0.65,0.81,<0.001,0,2,2,3,9,1,RRT > 5+ yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
429,0.43,0.4,0.47,<0.001,0,3,2,3,9,1,RRT > 5+ yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
430,0.64,0.61,0.67,<0.001,0,4,2,3,9,1,RRT > 5+ yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
431,0.52,0.5,0.53,<0.001,0,0,3,3,9,1,RRT > 5+ yrs.,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
432,0.47,0.46,0.49,<0.001,0,1,3,3,9,1,RRT > 5+ yrs.,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
433,0.61,0.55,0.68,<0.001,0,2,3,3,9,1,RRT > 5+ yrs.,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
434,0.43,0.39,0.46,<0.001,0,3,3,3,9,1,RRT > 5+ yrs.,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
435,0.68,0.65,0.72,<0.001,0,4,3,3,9,1,RRT > 5+ yrs.,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
436,0.4,0.4,0.41,<0.001,0,0,1,0,10,1,Center hemodialysis,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
437,0.36,0.35,0.36,<0.001,0,1,1,0,10,1,Center hemodialysis,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
438,0.55,0.52,0.59,<0.001,0,2,1,0,10,1,Center hemodialysis,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
439,0.41,0.4,0.43,<0.001,0,3,1,0,10,1,Center hemodialysis,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
440,0.5,0.49,0.51,<0.001,0,4,1,0,10,1,Center hemodialysis,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
441,0.46,0.46,0.47,<0.001,0,0,2,0,10,1,Center hemodialysis,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
442,0.42,0.41,0.42,<0.001,0,1,2,0,10,1,Center hemodialysis,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
443,0.68,0.64,0.73,<0.001,0,2,2,0,10,1,Center hemodialysis,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
444,0.41,0.4,0.43,<0.001,0,3,2,0,10,1,Center hemodialysis,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
445,0.57,0.55,0.58,<0.001,0,4,2,0,10,1,Center hemodialysis,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
446,0.54,0.53,0.55,<0.001,0,0,3,0,10,1,Center hemodialysis,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
447,0.49,0.48,0.5,<0.001,0,1,3,0,10,1,Center hemodialysis,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
448,0.65,0.61,0.7,<0.001,0,2,3,0,10,1,Center hemodialysis,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
449,0.45,0.43,0.47,<0.001,0,3,3,0,10,1,Center hemodialysis,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
450,0.71,0.69,0.72,<0.001,0,4,3,0,10,1,Center hemodialysis,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
451,0.42,0.36,0.48,<0.001,0,0,1,1,10,1,Home hemodialysis,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
452,0.37,0.32,0.44,<0.001,0,1,1,1,10,1,Home hemodialysis,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
453,0.93,0.44,1.96,0.841,0.8413,2,1,1,10,1,Home hemodialysis,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value 0.841",O1A1M2
454,0.64,0.41,1,0.052,0.0521,3,1,1,10,1,Home hemodialysis,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value 0.052",O1A1M3
455,0.52,0.4,0.69,<0.001,0,4,1,1,10,1,Home hemodialysis,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
456,0.43,0.38,0.5,<0.001,0,0,2,1,10,1,Home hemodialysis,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
457,0.39,0.33,0.46,<0.001,0,1,2,1,10,1,Home hemodialysis,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
458,1.12,0.53,2.38,0.762,0.7622,2,2,1,10,1,Home hemodialysis,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value 0.762",O1A2M2
459,0.64,0.41,0.99,0.047,0.0471,3,2,1,10,1,Home hemodialysis,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value 0.047",O1A2M3
460,0.52,0.4,0.69,<0.001,0,4,2,1,10,1,Home hemodialysis,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
461,0.51,0.44,0.6,<0.001,0,0,3,1,10,1,Home hemodialysis,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
462,0.49,0.41,0.58,<0.001,0,1,3,1,10,1,Home hemodialysis,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
463,0.84,0.37,1.89,0.665,0.6647,2,3,1,10,1,Home hemodialysis,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value 0.665",O1A3M2
464,0.58,0.36,0.94,0.028,0.0283,3,3,1,10,1,Home hemodialysis,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value 0.028",O1A3M3
465,0.56,0.42,0.75,<0.001,1.00E-04,4,3,1,10,1,Home hemodialysis,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
466,0.43,0.4,0.45,<0.001,0,0,1,2,10,1,Peritoneal dialysis ,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
467,0.34,0.31,0.37,<0.001,0,1,1,2,10,1,Peritoneal dialysis ,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
468,0.65,0.5,0.85,0.001,0.0015,2,1,2,10,1,Peritoneal dialysis ,Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value 0.001",O1A1M2
469,0.5,0.42,0.59,<0.001,0,3,1,2,10,1,Peritoneal dialysis ,Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
470,0.56,0.51,0.62,<0.001,0,4,1,2,10,1,Peritoneal dialysis ,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
471,0.5,0.47,0.53,<0.001,0,0,2,2,10,1,Peritoneal dialysis ,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
472,0.41,0.38,0.45,<0.001,0,1,2,2,10,1,Peritoneal dialysis ,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
473,0.8,0.61,1.04,0.098,0.0979,2,2,2,10,1,Peritoneal dialysis ,Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value 0.098",O1A2M2
474,0.49,0.41,0.58,<0.001,0,3,2,2,10,1,Peritoneal dialysis ,Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
475,0.63,0.58,0.7,<0.001,0,4,2,2,10,1,Peritoneal dialysis ,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
476,0.55,0.52,0.59,<0.001,0,0,3,2,10,1,Peritoneal dialysis ,Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
477,0.46,0.42,0.5,<0.001,0,1,3,2,10,1,Peritoneal dialysis ,Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
478,0.73,0.55,0.96,0.026,0.0264,2,3,2,10,1,Peritoneal dialysis ,Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value 0.026",O1A3M2
479,0.49,0.41,0.58,<0.001,0,3,3,2,10,1,Peritoneal dialysis ,Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
480,0.76,0.68,0.84,<0.001,0,4,3,2,10,1,Peritoneal dialysis ,Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
481,0.4,0.4,0.41,<0.001,0,0,1,0,11,1,"Prior transplant, no",Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
482,0.36,0.35,0.36,<0.001,0,1,1,0,11,1,"Prior transplant, no",Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
483,0.56,0.53,0.6,<0.001,0,2,1,0,11,1,"Prior transplant, no",Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value <0.001",O1A1M2
484,0.41,0.4,0.43,<0.001,0,3,1,0,11,1,"Prior transplant, no",Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
485,0.5,0.49,0.51,<0.001,0,4,1,0,11,1,"Prior transplant, no",Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
486,0.46,0.45,0.46,<0.001,0,0,2,0,11,1,"Prior transplant, no",Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
487,0.41,0.41,0.42,<0.001,0,1,2,0,11,1,"Prior transplant, no",Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
488,0.69,0.65,0.74,<0.001,0,2,2,0,11,1,"Prior transplant, no",Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value <0.001",O1A2M2
489,0.41,0.4,0.43,<0.001,0,3,2,0,11,1,"Prior transplant, no",Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
490,0.56,0.55,0.57,<0.001,0,4,2,0,11,1,"Prior transplant, no",Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
491,0.54,0.53,0.55,<0.001,0,0,3,0,11,1,"Prior transplant, no",Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
492,0.48,0.48,0.49,<0.001,0,1,3,0,11,1,"Prior transplant, no",Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
493,0.66,0.62,0.71,<0.001,0,2,3,0,11,1,"Prior transplant, no",Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value <0.001",O1A3M2
494,0.45,0.43,0.47,<0.001,0,3,3,0,11,1,"Prior transplant, no",Primary Composite,Asian,"Primary Composite, Adjustment Model 3, Asian (Vs. White), P-Value <0.001",O1A3M3
495,0.71,0.69,0.72,<0.001,0,4,3,0,11,1,"Prior transplant, no",Primary Composite,Hispanic,"Primary Composite, Adjustment Model 3, Hispanic (Vs. White), P-Value <0.001",O1A3M4
496,0.56,0.52,0.6,<0.001,0,0,1,1,11,1,"Prior transplant, yes",Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 1, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A1M0
497,0.5,0.46,0.54,<0.001,0,1,1,1,11,1,"Prior transplant, yes",Primary Composite,African American or Black,"Primary Composite, Adjustment Model 1, African American or Black (Vs. White), P-Value <0.001",O1A1M1
498,0.64,0.45,0.91,0.012,0.0121,2,1,1,11,1,"Prior transplant, yes",Primary Composite,Native American,"Primary Composite, Adjustment Model 1, Native American (Vs. White), P-Value 0.012",O1A1M2
499,0.6,0.48,0.77,<0.001,0,3,1,1,11,1,"Prior transplant, yes",Primary Composite,Asian,"Primary Composite, Adjustment Model 1, Asian (Vs. White), P-Value <0.001",O1A1M3
500,0.7,0.62,0.79,<0.001,0,4,1,1,11,1,"Prior transplant, yes",Primary Composite,Hispanic,"Primary Composite, Adjustment Model 1, Hispanic (Vs. White), P-Value <0.001",O1A1M4
501,0.57,0.53,0.61,<0.001,0,0,2,1,11,1,"Prior transplant, yes",Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 2, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A2M0
502,0.51,0.47,0.56,<0.001,0,1,2,1,11,1,"Prior transplant, yes",Primary Composite,African American or Black,"Primary Composite, Adjustment Model 2, African American or Black (Vs. White), P-Value <0.001",O1A2M1
503,0.63,0.45,0.89,0.01,0.0096,2,2,1,11,1,"Prior transplant, yes",Primary Composite,Native American,"Primary Composite, Adjustment Model 2, Native American (Vs. White), P-Value 0.01",O1A2M2
504,0.59,0.46,0.75,<0.001,0,3,2,1,11,1,"Prior transplant, yes",Primary Composite,Asian,"Primary Composite, Adjustment Model 2, Asian (Vs. White), P-Value <0.001",O1A2M3
505,0.72,0.63,0.81,<0.001,0,4,2,1,11,1,"Prior transplant, yes",Primary Composite,Hispanic,"Primary Composite, Adjustment Model 2, Hispanic (Vs. White), P-Value <0.001",O1A2M4
506,0.58,0.54,0.63,<0.001,0,0,3,1,11,1,"Prior transplant, yes",Primary Composite,"All Minority Groups, Combined","Primary Composite, Adjustment Model 3, All Minority Groups, Combined (Vs. White), P-Value <0.001",O1A3M0
507,0.54,0.49,0.6,<0.001,0,1,3,1,11,1,"Prior transplant, yes",Primary Composite,African American or Black,"Primary Composite, Adjustment Model 3, African American or Black (Vs. White), P-Value <0.001",O1A3M1
508,0.59,0.41,0.84,0.004,0.0039,2,3,1,11,1,"Prior transplant, yes",Primary Composite,Native American,"Primary Composite, Adjustment Model 3, Native American (Vs. White), P-Value 0.004",O1A3M2
