lat,lon,perc,desc,race_ethn,race_ethn,r_e
-80.4,27.4,14.4,"St. Lucie County, FL, African American 14.4%",1,1,African American
-80.4,27.4,22.4,"St. Lucie County, FL, Hispanic 22.4%",4,4,Hispanic
-87.0,30.7,30.7,"Santa Rosa County, FL, White 30.7%",0,0,White
-87.0,30.7,16.7,"Santa Rosa County, FL, African American 16.7%",1,1,African American
-82.4,27.2,36.0,"Sarasota County, FL, White 36%",0,0,White
-82.4,27.2,14.7,"Sarasota County, FL, African American 14.7%",1,1,African American
-82.4,27.2,17.9,"Sarasota County, FL, Hispanic 17.9%",4,4,Hispanic
-81.1,28.7,29.3,"Seminole County, FL, White 29.3%",0,0,White
-81.1,28.7,13.6,"Seminole County, FL, African American 13.6%",1,1,African American
-81.1,28.7,0.0,"Seminole County, FL, Asian 0%",3,3,Asian
-81.1,28.7,27.8,"Seminole County, FL, Hispanic 27.8%",4,4,Hispanic
-82.1,28.7,27.4,"Sumter County, FL, White 27.4%",0,0,White
-82.1,28.7,9.1,"Sumter County, FL, African American 9.1%",1,1,African American
-83.0,30.2,9.9,"Suwannee County, FL, White 9.9%",0,0,White
-83.0,30.2,8.5,"Suwannee County, FL, African American 8.5%",1,1,African American
-83.6,30.0,11.1,"Taylor County, FL, White 11.1%",0,0,White
-83.6,30.0,7.7,"Taylor County, FL, African American 7.7%",1,1,African American
-82.4,30.1,6.8,"Union County, FL, White 6.8%",0,0,White
-82.4,30.1,3.8,"Union County, FL, African American 3.8%",1,1,African American
-81.2,29.1,26.0,"Volusia County, FL, White 26%",0,0,White
-81.2,29.1,17.4,"Volusia County, FL, African American 17.4%",1,1,African American
-81.2,29.1,15.4,"Volusia County, FL, Asian 15.4%",3,3,Asian
-81.2,29.1,21.9,"Volusia County, FL, Hispanic 21.9%",4,4,Hispanic
-84.4,30.1,32.3,"Wakulla County, FL, White 32.3%",0,0,White
-84.4,30.1,9.7,"Wakulla County, FL, African American 9.7%",1,1,African American
-86.2,30.6,26.9,"Walton County, FL, White 26.9%",0,0,White
-86.2,30.6,27.3,"Walton County, FL, African American 27.3%",1,1,African American
-85.7,30.6,14.0,"Washington County, FL, White 14%",0,0,White
-85.7,30.6,20.7,"Washington County, FL, African American 20.7%",1,1,African American
-82.3,31.7,17.9,"Appling County, GA, White 17.9%",0,0,White
-82.3,31.7,6.3,"Appling County, GA, African American 6.3%",1,1,African American
-82.9,31.3,16.7,"Atkinson County, GA, White 16.7%",0,0,White
-82.9,31.3,6.3,"Atkinson County, GA, African American 6.3%",1,1,African American
-82.4,31.6,11.1,"Bacon County, GA, White 11.1%",0,0,White
-82.4,31.6,0.0,"Bacon County, GA, African American 0%",1,1,African American
-83.3,33.1,10.6,"Baldwin County, GA, White 10.6%",0,0,White
-83.3,33.1,13.8,"Baldwin County, GA, African American 13.8%",1,1,African American
-83.5,34.4,7.4,"Banks County, GA, White 7.4%",0,0,White
-83.7,34.0,20.2,"Barrow County, GA, White 20.2%",0,0,White
-83.7,34.0,8.9,"Barrow County, GA, African American 8.9%",1,1,African American
-84.8,34.2,19.4,"Bartow County, GA, White 19.4%",0,0,White
-84.8,34.2,6.0,"Bartow County, GA, African American 6%",1,1,African American
-83.1,31.7,28.1,"Ben Hill County, GA, White 28.1%",0,0,White
-83.1,31.7,16.7,"Ben Hill County, GA, African American 16.7%",1,1,African American
-83.2,31.3,13.3,"Berrien County, GA, White 13.3%",0,0,White
-83.2,31.3,16.7,"Berrien County, GA, African American 16.7%",1,1,African American
-83.7,32.8,18.0,"Bibb County, GA, White 18%",0,0,White
-83.7,32.8,9.5,"Bibb County, GA, African American 9.5%",1,1,African American
-83.3,32.4,10.5,"Bleckley County, GA, White 10.5%",0,0,White
-83.3,32.4,12.5,"Bleckley County, GA, African American 12.5%",1,1,African American
-82.0,31.2,23.7,"Brantley County, GA, White 23.7%",0,0,White
-83.6,30.8,18.2,"Brooks County, GA, White 18.2%",0,0,White
-83.6,30.8,7.4,"Brooks County, GA, African American 7.4%",1,1,African American
-81.4,32.0,13.5,"Bryan County, GA, White 13.5%",0,0,White
-81.4,32.0,9.7,"Bryan County, GA, African American 9.7%",1,1,African American
-81.7,32.4,22.6,"Bulloch County, GA, White 22.6%",0,0,White
-81.7,32.4,7.7,"Bulloch County, GA, African American 7.7%",1,1,African American
-82.0,33.1,14.3,"Burke County, GA, White 14.3%",0,0,White
-82.0,33.1,4.2,"Burke County, GA, African American 4.2%",1,1,African American
-84.0,33.3,13.0,"Butts County, GA, White 13%",0,0,White
-84.0,33.3,10.6,"Butts County, GA, African American 10.6%",1,1,African American
-84.6,31.5,14.7,"Calhoun County, GA, African American 14.7%",1,1,African American
-81.6,30.9,33.3,"Camden County, GA, White 33.3%",0,0,White
-81.6,30.9,10.2,"Camden County, GA, African American 10.2%",1,1,African American
-82.1,32.4,32.3,"Candler County, GA, White 32.3%",0,0,White
-82.1,32.4,14.8,"Candler County, GA, African American 14.8%",1,1,African American
-85.1,33.6,23.0,"Carroll County, GA, White 23%",0,0,White
-85.1,33.6,10.3,"Carroll County, GA, African American 10.3%",1,1,African American
-85.1,34.9,24.8,"Catoosa County, GA, White 24.8%",0,0,White
-82.1,30.8,20.0,"Charlton County, GA, White 20%",0,0,White
-82.1,30.8,15.8,"Charlton County, GA, African American 15.8%",1,1,African American
-81.1,32.0,17.6,"Chatham County, GA, White 17.6%",0,0,White
-81.1,32.0,10.6,"Chatham County, GA, African American 10.6%",1,1,African American
-84.8,32.3,10.0,"Chattahoochee County, GA, African American 10%",1,1,African American
-85.3,34.5,17.2,"Chattooga County, GA, White 17.2%",0,0,White
-85.3,34.5,14.8,"Chattooga County, GA, African American 14.8%",1,1,African American
-84.5,34.2,23.7,"Cherokee County, GA, White 23.7%",0,0,White
-84.5,34.2,16.7,"Cherokee County, GA, African American 16.7%",1,1,African American
-83.4,34.0,22.3,"Clarke County, GA, White 22.3%",0,0,White
-83.4,34.0,13.1,"Clarke County, GA, African American 13.1%",1,1,African American
-85.0,31.6,16.7,"Clay County, GA, African American 16.7%",1,1,African American
-84.4,33.6,17.3,"Clayton County, GA, White 17.3%",0,0,White
-84.4,33.6,9.1,"Clayton County, GA, African American 9.1%",1,1,African American
-84.4,33.6,12.5,"Clayton County, GA, Asian 12.5%",3,3,Asian
-84.4,33.6,11.5,"Clayton County, GA, Hispanic 11.5%",4,4,Hispanic
-82.7,30.9,15.4,"Clinch County, GA, White 15.4%",0,0,White
-82.7,30.9,0.0,"Clinch County, GA, African American 0%",1,1,African American
-84.6,33.9,24.0,"Cobb County, GA, White 24%",0,0,White
-84.6,33.9,12.8,"Cobb County, GA, African American 12.8%",1,1,African American
-84.6,33.9,19.2,"Cobb County, GA, Asian 19.2%",3,3,Asian
-84.6,33.9,18.2,"Cobb County, GA, Hispanic 18.2%",4,4,Hispanic
-82.8,31.5,16.8,"Coffee County, GA, White 16.8%",0,0,White
-82.8,31.5,10.0,"Coffee County, GA, African American 10%",1,1,African American
-83.8,31.2,17.8,"Colquitt County, GA, White 17.8%",0,0,White
-83.8,31.2,13.2,"Colquitt County, GA, African American 13.2%",1,1,African American
-82.3,33.6,7.4,"Columbia County, GA, White 7.4%",0,0,White
-82.3,33.6,3.8,"Columbia County, GA, African American 3.8%",1,1,African American
-83.4,31.2,20.0,"Cook County, GA, White 20%",0,0,White
-83.4,31.2,18.5,"Cook County, GA, African American 18.5%",1,1,African American
-84.8,33.4,24.8,"Coweta County, GA, White 24.8%",0,0,White
-84.8,33.4,10.3,"Coweta County, GA, African American 10.3%",1,1,African American
-84.0,32.7,25.0,"Crawford County, GA, White 25%",0,0,White
-84.0,32.7,0.0,"Crawford County, GA, African American 0%",1,1,African American
-83.8,31.9,11.4,"Crisp County, GA, White 11.4%",0,0,White
-83.8,31.9,7.6,"Crisp County, GA, African American 7.6%",1,1,African American
-85.5,34.9,26.9,"Dade County, GA, White 26.9%",0,0,White
-84.2,34.4,15.2,"Dawson County, GA, White 15.2%",0,0,White
-84.6,30.9,15.6,"Decatur County, GA, White 15.6%",0,0,White
-84.6,30.9,6.5,"Decatur County, GA, African American 6.5%",1,1,African American
-84.2,33.8,21.6,"DeKalb County, GA, White 21.6%",0,0,White
-84.2,33.8,9.4,"DeKalb County, GA, African American 9.4%",1,1,African American
-84.2,33.8,8.3,"DeKalb County, GA, Asian 8.3%",3,3,Asian
-84.2,33.8,10.5,"DeKalb County, GA, Hispanic 10.5%",4,4,Hispanic
-83.2,32.2,18.4,"Dodge County, GA, White 18.4%",0,0,White
-83.2,32.2,10.0,"Dodge County, GA, African American 10%",1,1,African American
-83.8,32.2,4.5,"Dooly County, GA, White 4.5%",0,0,White
-83.8,32.2,4.7,"Dooly County, GA, African American 4.7%",1,1,African American
-84.2,31.5,20.9,"Dougherty County, GA, White 20.9%",0,0,White
-84.2,31.5,15.8,"Dougherty County, GA, African American 15.8%",1,1,African American
-84.8,33.7,21.5,"Douglas County, GA, White 21.5%",0,0,White
-84.8,33.7,12.5,"Douglas County, GA, African American 12.5%",1,1,African American
-84.9,31.3,20.0,"Early County, GA, White 20%",0,0,White
-84.9,31.3,16.7,"Early County, GA, African American 16.7%",1,1,African American
-81.3,32.4,15.2,"Effingham County, GA, White 15.2%",0,0,White
-81.3,32.4,12.5,"Effingham County, GA, African American 12.5%",1,1,African American
-82.8,34.1,18.4,"Elbert County, GA, White 18.4%",0,0,White
-82.8,34.1,2.9,"Elbert County, GA, African American 2.9%",1,1,African American
-82.3,32.6,11.1,"Emanuel County, GA, White 11.1%",0,0,White
-82.3,32.6,9.0,"Emanuel County, GA, African American 9%",1,1,African American
-81.9,32.2,7.4,"Evans County, GA, White 7.4%",0,0,White
-81.9,32.2,25.0,"Evans County, GA, African American 25%",1,1,African American
-84.3,34.9,21.5,"Fannin County, GA, White 21.5%",0,0,White
-84.5,33.4,29.8,"Fayette County, GA, White 29.8%",0,0,White
-84.5,33.4,15.9,"Fayette County, GA, African American 15.9%",1,1,African American
-85.2,34.3,18.0,"Floyd County, GA, White 18%",0,0,White
-85.2,34.3,7.8,"Floyd County, GA, African American 7.8%",1,1,African American
-84.1,34.2,25.3,"Forsyth County, GA, White 25.3%",0,0,White
-83.2,34.4,16.3,"Franklin County, GA, White 16.3%",0,0,White
-83.2,34.4,18.2,"Franklin County, GA, African American 18.2%",1,1,African American
-84.5,33.8,19.3,"Fulton County, GA, White 19.3%",0,0,White
-84.5,33.8,6.5,"Fulton County, GA, African American 6.5%",1,1,African American
-84.5,33.8,19.0,"Fulton County, GA, Asian 19%",3,3,Asian
-84.5,33.8,6.5,"Fulton County, GA, Hispanic 6.5%",4,4,Hispanic
-84.5,34.7,22.5,"Gilmer County, GA, White 22.5%",0,0,White
-82.6,33.2,6.7,"Glascock County, GA, White 6.7%",0,0,White
-81.5,31.2,20.1,"Glynn County, GA, White 20.1%",0,0,White
-81.5,31.2,10.4,"Glynn County, GA, African American 10.4%",1,1,African American
-84.9,34.5,14.8,"Gordon County, GA, White 14.8%",0,0,White
-84.9,34.5,7.7,"Gordon County, GA, African American 7.7%",1,1,African American
-84.2,30.9,6.1,"Grady County, GA, White 6.1%",0,0,White
-84.2,30.9,9.7,"Grady County, GA, African American 9.7%",1,1,African American
-83.2,33.6,15.8,"Greene County, GA, White 15.8%",0,0,White
-83.2,33.6,5.3,"Greene County, GA, African American 5.3%",1,1,African American
-84.0,34.0,21.1,"Gwinnett County, GA, White 21.1%",0,0,White
-84.0,34.0,13.8,"Gwinnett County, GA, African American 13.8%",1,1,African American
-84.0,34.0,19.4,"Gwinnett County, GA, Asian 19.4%",3,3,Asian
-84.0,34.0,25.0,"Gwinnett County, GA, Hispanic 25%",4,4,Hispanic
-83.5,34.6,21.4,"Habersham County, GA, White 21.4%",0,0,White
-83.5,34.6,0.0,"Habersham County, GA, African American 0%",1,1,African American
-83.8,34.3,19.6,"Hall County, GA, White 19.6%",0,0,White
-83.8,34.3,9.7,"Hall County, GA, African American 9.7%",1,1,African American
-83.8,34.3,5.0,"Hall County, GA, Hispanic 5%",4,4,Hispanic
-83.0,33.3,7.4,"Hancock County, GA, African American 7.4%",1,1,African American
-85.2,33.8,20.7,"Haralson County, GA, White 20.7%",0,0,White
-85.2,33.8,10.0,"Haralson County, GA, African American 10%",1,1,African American
-84.9,32.7,8.0,"Harris County, GA, White 8%",0,0,White
-84.9,32.7,14.7,"Harris County, GA, African American 14.7%",1,1,African American
-83.0,34.3,13.6,"Hart County, GA, White 13.6%",0,0,White
-83.0,34.3,7.7,"Hart County, GA, African American 7.7%",1,1,African American
-85.1,33.3,33.3,"Heard County, GA, White 33.3%",0,0,White
-85.1,33.3,7.7,"Heard County, GA, African American 7.7%",1,1,African American
-84.2,33.5,18.1,"Henry County, GA, White 18.1%",0,0,White
-84.2,33.5,9.8,"Henry County, GA, African American 9.8%",1,1,African American
-83.7,32.5,15.4,"Houston County, GA, White 15.4%",0,0,White
-83.7,32.5,9.6,"Houston County, GA, African American 9.6%",1,1,African American
-83.3,31.6,13.6,"Irwin County, GA, African American 13.6%",1,1,African American
-83.6,34.1,17.1,"Jackson County, GA, White 17.1%",0,0,White
-83.6,34.1,15.8,"Jackson County, GA, African American 15.8%",1,1,African American
-83.7,33.3,20.0,"Jasper County, GA, White 20%",0,0,White
-83.7,33.3,7.4,"Jasper County, GA, African American 7.4%",1,1,African American
-82.6,31.8,14.3,"Jeff Davis County, GA, White 14.3%",0,0,White
-82.6,31.8,22.2,"Jeff Davis County, GA, African American 22.2%",1,1,African American
-82.4,33.1,20.0,"Jefferson County, GA, White 20%",0,0,White
-82.4,33.1,4.2,"Jefferson County, GA, African American 4.2%",1,1,African American
-82.0,32.8,20.0,"Jenkins County, GA, White 20%",0,0,White
-82.0,32.8,6.1,"Jenkins County, GA, African American 6.1%",1,1,African American
-82.7,32.7,23.8,"Johnson County, GA, White 23.8%",0,0,White
-82.7,32.7,13.9,"Johnson County, GA, African American 13.9%",1,1,African American
-83.6,33.0,12.9,"Jones County, GA, White 12.9%",0,0,White
-83.6,33.0,6.5,"Jones County, GA, African American 6.5%",1,1,African American
-84.1,33.1,29.5,"Lamar County, GA, White 29.5%",0,0,White
-84.1,33.1,8.6,"Lamar County, GA, African American 8.6%",1,1,African American
-83.1,31.0,12.0,"Lanier County, GA, White 12%",0,0,White
-83.1,31.0,7.7,"Lanier County, GA, African American 7.7%",1,1,African American
-82.9,32.4,14.3,"Laurens County, GA, White 14.3%",0,0,White
-82.9,32.4,13.5,"Laurens County, GA, African American 13.5%",1,1,African American
-84.1,31.8,25.8,"Lee County, GA, White 25.8%",0,0,White
-84.1,31.8,9.7,"Lee County, GA, African American 9.7%",1,1,African American
-81.5,31.8,19.5,"Liberty County, GA, White 19.5%",0,0,White
-81.5,31.8,7.4,"Liberty County, GA, African American 7.4%",1,1,African American
-82.4,33.8,0.0,"Lincoln County, GA, White 0%",0,0,White
-82.4,33.8,10.7,"Lincoln County, GA, African American 10.7%",1,1,African American
-81.7,31.7,10.0,"Long County, GA, White 10%",0,0,White
-81.7,31.7,36.4,"Long County, GA, African American 36.4%",1,1,African American
-83.3,30.8,20.9,"Lowndes County, GA, White 20.9%",0,0,White
-83.3,30.8,8.2,"Lowndes County, GA, African American 8.2%",1,1,African American
-84.0,34.6,21.1,"Lumpkin County, GA, White 21.1%",0,0,White
-82.5,33.5,17.0,"McDuffie County, GA, White 17%",0,0,White
-82.5,33.5,9.4,"McDuffie County, GA, African American 9.4%",1,1,African American
-81.4,31.5,22.6,"McIntosh County, GA, White 22.6%",0,0,White
-81.4,31.5,20.0,"McIntosh County, GA, African American 20%",1,1,African American
-84.1,32.4,9.1,"Macon County, GA, White 9.1%",0,0,White
-84.1,32.4,8.8,"Macon County, GA, African American 8.8%",1,1,African American
-83.2,34.1,19.1,"Madison County, GA, White 19.1%",0,0,White
-83.2,34.1,20.8,"Madison County, GA, African American 20.8%",1,1,African American
-84.5,32.4,15.4,"Marion County, GA, White 15.4%",0,0,White
-84.5,32.4,2.6,"Marion County, GA, African American 2.6%",1,1,African American
-84.7,33.0,24.0,"Meriwether County, GA, White 24%",0,0,White
-84.7,33.0,14.1,"Meriwether County, GA, African American 14.1%",1,1,African American
-84.7,31.2,9.1,"Miller County, GA, African American 9.1%",1,1,African American
-84.2,31.2,14.6,"Mitchell County, GA, White 14.6%",0,0,White
-84.2,31.2,11.9,"Mitchell County, GA, African American 11.9%",1,1,African American
-83.9,33.0,14.8,"Monroe County, GA, White 14.8%",0,0,White
-83.9,33.0,11.3,"Monroe County, GA, African American 11.3%",1,1,African American
-82.5,32.2,20.0,"Montgomery County, GA, White 20%",0,0,White
-82.5,32.2,0.0,"Montgomery County, GA, African American 0%",1,1,African American
-83.5,33.6,7.1,"Morgan County, GA, White 7.1%",0,0,White
-83.5,33.6,11.4,"Morgan County, GA, African American 11.4%",1,1,African American
-84.7,34.8,23.0,"Murray County, GA, White 23%",0,0,White
-84.9,32.5,16.7,"Muscogee County, GA, White 16.7%",0,0,White
-84.9,32.5,9.5,"Muscogee County, GA, African American 9.5%",1,1,African American
-84.9,32.5,15.8,"Muscogee County, GA, Hispanic 15.8%",4,4,Hispanic
-83.9,33.5,25.2,"Newton County, GA, White 25.2%",0,0,White
-83.9,33.5,16.8,"Newton County, GA, African American 16.8%",1,1,African American
-83.4,33.8,13.3,"Oconee County, GA, White 13.3%",0,0,White
-83.4,33.8,7.1,"Oconee County, GA, African American 7.1%",1,1,African American
-83.1,33.9,33.3,"Oglethorpe County, GA, White 33.3%",0,0,White
-83.1,33.9,21.4,"Oglethorpe County, GA, African American 21.4%",1,1,African American
-84.9,33.9,34.3,"Paulding County, GA, White 34.3%",0,0,White
-84.9,33.9,12.1,"Paulding County, GA, African American 12.1%",1,1,African American
-83.8,32.6,13.3,"Peach County, GA, White 13.3%",0,0,White
-83.8,32.6,6.9,"Peach County, GA, African American 6.9%",1,1,African American
-84.5,34.5,12.5,"Pickens County, GA, White 12.5%",0,0,White
-82.2,31.4,16.1,"Pierce County, GA, White 16.1%",0,0,White
-82.2,31.4,5.0,"Pierce County, GA, African American 5%",1,1,African American
-84.4,33.1,29.7,"Pike County, GA, White 29.7%",0,0,White
-84.4,33.1,9.4,"Pike County, GA, African American 9.4%",1,1,African American
-85.2,34.0,15.1,"Polk County, GA, White 15.1%",0,0,White
-85.2,34.0,12.8,"Polk County, GA, African American 12.8%",1,1,African American
-83.5,32.2,15.8,"Pulaski County, GA, White 15.8%",0,0,White
-83.5,32.2,0.0,"Pulaski County, GA, African American 0%",1,1,African American
-83.4,33.3,15.4,"Putnam County, GA, White 15.4%",0,0,White
-83.4,33.3,13.3,"Putnam County, GA, African American 13.3%",1,1,African American
-83.4,34.9,22.5,"Rabun County, GA, White 22.5%",0,0,White
-84.8,31.8,0.0,"Randolph County, GA, African American 0%",1,1,African American
-82.1,33.4,8.4,"Richmond County, GA, White 8.4%",0,0,White
-82.1,33.4,5.3,"Richmond County, GA, African American 5.3%",1,1,African American
-82.1,33.4,0.0,"Richmond County, GA, Asian 0%",3,3,Asian
-84.0,33.7,33.6,"Rockdale County, GA, White 33.6%",0,0,White
-84.0,33.7,23.6,"Rockdale County, GA, African American 23.6%",1,1,African American
-81.6,32.7,14.3,"Screven County, GA, White 14.3%",0,0,White
-81.6,32.7,7.1,"Screven County, GA, African American 7.1%",1,1,African American
-84.9,30.9,40.0,"Seminole County, GA, White 40%",0,0,White
-84.9,30.9,4.0,"Seminole County, GA, African American 4%",1,1,African American
-84.3,33.3,15.2,"Spalding County, GA, White 15.2%",0,0,White
-84.3,33.3,10.6,"Spalding County, GA, African American 10.6%",1,1,African American
-83.3,34.6,15.6,"Stephens County, GA, White 15.6%",0,0,White
-83.3,34.6,17.4,"Stephens County, GA, African American 17.4%",1,1,African American
-84.8,32.1,3.4,"Stewart County, GA, African American 3.4%",1,1,African American
-84.2,32.0,32.5,"Sumter County, GA, White 32.5%",0,0,White
-84.2,32.0,5.5,"Sumter County, GA, African American 5.5%",1,1,African American
-84.5,32.7,8.3,"Talbot County, GA, White 8.3%",0,0,White
-84.5,32.7,8.3,"Talbot County, GA, African American 8.3%",1,1,African American
-82.9,33.6,0.0,"Taliaferro County, GA, African American 0%",1,1,African American
-82.1,32.0,12.8,"Tattnall County, GA, White 12.8%",0,0,White
-82.1,32.0,8.1,"Tattnall County, GA, African American 8.1%",1,1,African American
-84.3,32.6,11.8,"Taylor County, GA, White 11.8%",0,0,White
-84.3,32.6,5.9,"Taylor County, GA, African American 5.9%",1,1,African American
-82.9,31.9,20.0,"Telfair County, GA, White 20%",0,0,White
-82.9,31.9,7.9,"Telfair County, GA, African American 7.9%",1,1,African American
-84.4,31.8,31.6,"Terrell County, GA, White 31.6%",0,0,White
-84.4,31.8,7.8,"Terrell County, GA, African American 7.8%",1,1,African American
-83.9,30.9,17.9,"Thomas County, GA, White 17.9%",0,0,White
-83.9,30.9,9.8,"Thomas County, GA, African American 9.8%",1,1,African American
-83.5,31.5,25.8,"Tift County, GA, White 25.8%",0,0,White
-83.5,31.5,10.3,"Tift County, GA, African American 10.3%",1,1,African American
-82.3,32.1,10.2,"Toombs County, GA, White 10.2%",0,0,White
-82.3,32.1,8.0,"Toombs County, GA, African American 8%",1,1,African American
-83.7,34.9,17.5,"Towns County, GA, White 17.5%",0,0,White
-82.6,32.4,33.3,"Treutlen County, GA, White 33.3%",0,0,White
-82.6,32.4,0.0,"Treutlen County, GA, African American 0%",1,1,African American
-85.0,33.0,14.3,"Troup County, GA, White 14.3%",0,0,White
-85.0,33.0,11.4,"Troup County, GA, African American 11.4%",1,1,African American
-83.6,31.7,31.3,"Turner County, GA, White 31.3%",0,0,White
-83.6,31.7,7.1,"Turner County, GA, African American 7.1%",1,1,African American
-83.4,32.7,7.5,"Twiggs County, GA, African American 7.5%",1,1,African American
-84.0,34.8,26.6,"Union County, GA, White 26.6%",0,0,White
-84.3,32.9,18.2,"Upson County, GA, White 18.2%",0,0,White
-84.3,32.9,11.6,"Upson County, GA, African American 11.6%",1,1,African American
-85.3,34.7,19.4,"Walker County, GA, White 19.4%",0,0,White
-85.3,34.7,17.6,"Walker County, GA, African American 17.6%",1,1,African American
-83.7,33.8,22.0,"Walton County, GA, White 22%",0,0,White
-83.7,33.8,13.6,"Walton County, GA, African American 13.6%",1,1,African American
-82.4,31.1,12.1,"Ware County, GA, White 12.1%",0,0,White
-82.4,31.1,6.8,"Ware County, GA, African American 6.8%",1,1,African American
-82.7,33.4,6.3,"Warren County, GA, White 6.3%",0,0,White
-82.7,33.4,5.1,"Warren County, GA, African American 5.1%",1,1,African American
-82.8,33.0,9.1,"Washington County, GA, White 9.1%",0,0,White
-82.8,33.0,10.7,"Washington County, GA, African American 10.7%",1,1,African American
-81.9,31.5,19.4,"Wayne County, GA, White 19.4%",0,0,White
-81.9,31.5,20.4,"Wayne County, GA, African American 20.4%",1,1,African American
-83.7,34.6,22.4,"White County, GA, White 22.4%",0,0,White
-85.0,34.8,18.8,"Whitfield County, GA, White 18.8%",0,0,White
-85.0,34.8,15.0,"Whitfield County, GA, African American 15%",1,1,African American
-85.0,34.8,6.3,"Whitfield County, GA, Hispanic 6.3%",4,4,Hispanic
-83.4,32.0,23.1,"Wilcox County, GA, White 23.1%",0,0,White
-83.4,32.0,13.6,"Wilcox County, GA, African American 13.6%",1,1,African American
-82.7,33.8,0.0,"Wilkes County, GA, White 0%",0,0,White
-82.7,33.8,4.8,"Wilkes County, GA, African American 4.8%",1,1,African American
-83.2,32.8,10.0,"Wilkinson County, GA, White 10%",0,0,White
-83.2,32.8,7.9,"Wilkinson County, GA, African American 7.9%",1,1,African American
-83.8,31.6,35.7,"Worth County, GA, White 35.7%",0,0,White
-83.8,31.6,11.4,"Worth County, GA, African American 11.4%",1,1,African American
-155.5,19.6,14.8,"Hawaii County, HI, White 14.8%",0,0,White
-155.5,19.6,9.5,"Hawaii County, HI, Asian 9.5%",3,3,Asian
-155.5,19.6,8.7,"Hawaii County, HI, Hispanic 8.7%",4,4,Hispanic
-158.2,21.5,17.5,"Honolulu County, HI, White 17.5%",0,0,White
-158.2,21.5,19.0,"Honolulu County, HI, African American 19%",1,1,African American
-158.2,21.5,11.7,"Honolulu County, HI, Asian 11.7%",3,3,Asian
-158.2,21.5,19.5,"Honolulu County, HI, Hispanic 19.5%",4,4,Hispanic
-159.7,22.0,18.2,"Kauai County, HI, White 18.2%",0,0,White
-159.7,22.0,13.4,"Kauai County, HI, Asian 13.4%",3,3,Asian
-156.6,20.9,16.9,"Maui County, HI, White 16.9%",0,0,White
-156.6,20.9,12.5,"Maui County, HI, Asian 12.5%",3,3,Asian
-156.6,20.9,33.3,"Maui County, HI, Hispanic 33.3%",4,4,Hispanic
-116.2,43.4,35.3,"Ada County, ID, White 35.3%",0,0,White
-116.2,43.4,25.0,"Ada County, ID, African American 25%",1,1,African American
-116.2,43.4,20.0,"Ada County, ID, Asian 20%",3,3,Asian
-116.2,43.4,15.8,"Ada County, ID, Hispanic 15.8%",4,4,Hispanic
-112.2,42.7,26.6,"Bannock County, ID, White 26.6%",0,0,White
-112.2,42.7,20.7,"Bannock County, ID, Native American 20.7%",2,2,Native American
-112.2,42.7,20.0,"Bannock County, ID, Hispanic 20%",4,4,Hispanic
-111.3,42.3,16.7,"Bear Lake County, ID, White 16.7%",0,0,White
-116.6,47.2,16.7,"Benewah County, ID, White 16.7%",0,0,White
-112.4,43.2,29.0,"Bingham County, ID, White 29%",0,0,White
-112.4,43.2,33.3,"Bingham County, ID, Native American 33.3%",2,2,Native American
-115.7,44.0,40.0,"Boise County, ID, White 40%",0,0,White
-116.6,48.3,28.4,"Bonner County, ID, White 28.4%",0,0,White
-111.6,43.4,29.6,"Bonneville County, ID, White 29.6%",0,0,White
-116.5,48.8,21.4,"Boundary County, ID, White 21.4%",0,0,White
-113.2,43.7,36.4,"Butte County, ID, White 36.4%",0,0,White
-116.7,43.6,29.2,"Canyon County, ID, White 29.2%",0,0,White
-116.7,43.6,28.1,"Canyon County, ID, Hispanic 28.1%",4,4,Hispanic
-111.5,42.8,21.4,"Caribou County, ID, White 21.4%",0,0,White
-113.6,42.3,23.5,"Cassia County, ID, White 23.5%",0,0,White
-113.6,42.3,50.0,"Cassia County, ID, Hispanic 50%",4,4,Hispanic
-115.7,46.7,46.2,"Clearwater County, ID, White 46.2%",0,0,White
-115.5,43.4,20.5,"Elmore County, ID, White 20.5%",0,0,White
-111.8,42.2,30.0,"Franklin County, ID, White 30%",0,0,White
-111.5,44.2,31.6,"Fremont County, ID, White 31.6%",0,0,White
-116.4,44.1,34.8,"Gem County, ID, White 34.8%",0,0,White
-114.8,43.0,36.7,"Gooding County, ID, White 36.7%",0,0,White
-115.5,45.8,17.4,"Idaho County, ID, White 17.4%",0,0,White
-112.3,43.8,40.0,"Jefferson County, ID, White 40%",0,0,White
-114.3,42.7,25.0,"Jerome County, ID, White 25%",0,0,White
-116.7,47.7,33.0,"Kootenai County, ID, White 33%",0,0,White
-116.7,46.8,20.7,"Latah County, ID, White 20.7%",0,0,White
-111.7,43.8,36.7,"Madison County, ID, White 36.7%",0,0,White
-113.6,42.9,24.2,"Minidoka County, ID, White 24.2%",0,0,White
-116.8,46.3,20.0,"Nez Perce County, ID, White 20%",0,0,White
-116.8,46.3,5.0,"Nez Perce County, ID, Native American 5%",2,2,Native American
-116.1,42.6,41.7,"Owyhee County, ID, White 41.7%",0,0,White
-116.7,44.0,28.9,"Payette County, ID, White 28.9%",0,0,White
-112.8,42.7,10.0,"Power County, ID, White 10%",0,0,White
-115.9,47.3,29.7,"Shoshone County, ID, White 29.7%",0,0,White
-114.7,42.4,31.3,"Twin Falls County, ID, White 31.3%",0,0,White
