aor,low,hi,pChar,pNum,minority,adj,lev,var,outcome,desc,oam
0.6,0.49,0.73,<0.001,0,2,2,1,8,1,Hypertension,O1A2M2
0.41,0.38,0.45,<0.001,0,3,2,1,8,1,Hypertension,O1A2M3
0.54,0.52,0.57,<0.001,0,4,2,1,8,1,Hypertension,O1A2M4
0.5,0.49,0.51,<0.001,0,0,3,1,8,1,Hypertension,O1A3M0
0.47,0.46,0.48,<0.001,0,1,3,1,8,1,Hypertension,O1A3M1
0.57,0.46,0.7,<0.001,0,2,3,1,8,1,Hypertension,O1A3M2
0.45,0.41,0.49,<0.001,0,3,3,1,8,1,Hypertension,O1A3M3
0.66,0.63,0.69,<0.001,0,4,3,1,8,1,Hypertension,O1A3M4
0.34,0.33,0.36,<0.001,0,0,1,2,8,1,Glomerulonephritis,O1A1M0
0.29,0.27,0.31,<0.001,0,1,1,2,8,1,Glomerulonephritis,O1A1M1
0.63,0.51,0.78,<0.001,0,2,1,2,8,1,Glomerulonephritis,O1A1M2
0.44,0.39,0.5,<0.001,0,3,1,2,8,1,Glomerulonephritis,O1A1M3
0.45,0.41,0.49,<0.001,0,4,1,2,8,1,Glomerulonephritis,O1A1M4
0.46,0.44,0.49,<0.001,0,0,2,2,8,1,Glomerulonephritis,O1A2M0
0.41,0.38,0.44,<0.001,0,1,2,2,8,1,Glomerulonephritis,O1A2M1
0.85,0.68,1.05,0.136,0.1355,2,2,2,8,1,Glomerulonephritis,O1A2M2
0.45,0.4,0.52,<0.001,0,3,2,2,8,1,Glomerulonephritis,O1A2M3
0.57,0.53,0.63,<0.001,0,4,2,2,8,1,Glomerulonephritis,O1A2M4
0.49,0.47,0.52,<0.001,0,0,3,2,8,1,Glomerulonephritis,O1A3M0
0.43,0.4,0.46,<0.001,0,1,3,2,8,1,Glomerulonephritis,O1A3M1
0.73,0.58,0.91,0.006,0.0063,2,3,2,8,1,Glomerulonephritis,O1A3M2
0.45,0.39,0.52,<0.001,0,3,3,2,8,1,Glomerulonephritis,O1A3M3
0.68,0.61,0.74,<0.001,0,4,3,2,8,1,Glomerulonephritis,O1A3M4
0.44,0.39,0.5,<0.001,0,0,1,3,8,1,Cystic disease,O1A1M0
0.39,0.33,0.46,<0.001,0,1,1,3,8,1,Cystic disease,O1A1M1
0.41,0.17,1.03,0.058,0.0576,2,1,3,8,1,Cystic disease,O1A1M2
0.52,0.35,0.76,<0.001,8.00E-04,3,1,3,8,1,Cystic disease,O1A1M3
0.53,0.43,0.66,<0.001,0,4,1,3,8,1,Cystic disease,O1A1M4
0.48,0.42,0.55,<0.001,0,0,2,3,8,1,Cystic disease,O1A2M0
0.42,0.36,0.5,<0.001,0,1,2,3,8,1,Cystic disease,O1A2M1
0.61,0.24,1.53,0.291,0.2908,2,2,3,8,1,Cystic disease,O1A2M2
0.51,0.34,0.75,<0.001,7.00E-04,3,2,3,8,1,Cystic disease,O1A2M3
0.57,0.46,0.7,<0.001,0,4,2,3,8,1,Cystic disease,O1A2M4
0.49,0.43,0.57,<0.001,0,0,3,3,8,1,Cystic disease,O1A3M0
0.43,0.36,0.51,<0.001,0,1,3,3,8,1,Cystic disease,O1A3M1
0.48,0.17,1.35,0.166,0.1655,2,3,3,8,1,Cystic disease,O1A3M2
0.47,0.31,0.7,<0.001,2.00E-04,3,3,3,8,1,Cystic disease,O1A3M3
0.67,0.53,0.84,<0.001,5.00E-04,4,3,3,8,1,Cystic disease,O1A3M4
0.4,0.39,0.41,<0.001,0,0,1,4,8,1,Other kidney disease,O1A1M0
0.36,0.34,0.37,<0.001,0,1,1,4,8,1,Other kidney disease,O1A1M1
0.7,0.58,0.84,<0.001,2.00E-04,2,1,4,8,1,Other kidney disease,O1A1M2
0.4,0.35,0.45,<0.001,0,3,1,4,8,1,Other kidney disease,O1A1M3
0.52,0.49,0.56,<0.001,0,4,1,4,8,1,Other kidney disease,O1A1M4
0.48,0.47,0.5,<0.001,0,0,2,4,8,1,Other kidney disease,O1A2M0
0.44,0.43,0.46,<0.001,0,1,2,4,8,1,Other kidney disease,O1A2M1
0.83,0.69,1.01,0.064,0.0635,2,2,4,8,1,Other kidney disease,O1A2M2
0.4,0.35,0.45,<0.001,0,3,2,4,8,1,Other kidney disease,O1A2M3
0.59,0.56,0.63,<0.001,0,4,2,4,8,1,Other kidney disease,O1A2M4
0.56,0.54,0.58,<0.001,0,0,3,4,8,1,Other kidney disease,O1A3M0
0.51,0.49,0.54,<0.001,0,1,3,4,8,1,Other kidney disease,O1A3M1
0.75,0.62,0.92,0.006,0.0056,2,3,4,8,1,Other kidney disease,O1A3M2
0.43,0.38,0.49,<0.001,0,3,3,4,8,1,Other kidney disease,O1A3M3
0.72,0.67,0.77,<0.001,0,4,3,4,8,1,Other kidney disease,O1A3M4
0.42,0.41,0.43,<0.001,0,0,1,0,9,1,RRT < 1 yrs.,O1A1M0
0.38,0.37,0.39,<0.001,0,1,1,0,9,1,RRT < 1 yrs.,O1A1M1
0.57,0.5,0.65,<0.001,0,2,1,0,9,1,RRT < 1 yrs.,O1A1M2
0.42,0.39,0.46,<0.001,0,3,1,0,9,1,RRT < 1 yrs.,O1A1M3
0.5,0.48,0.52,<0.001,0,4,1,0,9,1,RRT < 1 yrs.,O1A1M4
0.47,0.46,0.48,<0.001,0,0,2,0,9,1,RRT < 1 yrs.,O1A2M0
0.43,0.42,0.44,<0.001,0,1,2,0,9,1,RRT < 1 yrs.,O1A2M1
0.69,0.61,0.79,<0.001,0,2,2,0,9,1,RRT < 1 yrs.,O1A2M2
0.42,0.39,0.46,<0.001,0,3,2,0,9,1,RRT < 1 yrs.,O1A2M3
0.55,0.53,0.57,<0.001,0,4,2,0,9,1,RRT < 1 yrs.,O1A2M4
0.56,0.54,0.57,<0.001,0,0,3,0,9,1,RRT < 1 yrs.,O1A3M0
0.5,0.49,0.52,<0.001,0,1,3,0,9,1,RRT < 1 yrs.,O1A3M1
0.69,0.6,0.79,<0.001,0,2,3,0,9,1,RRT < 1 yrs.,O1A3M2
0.47,0.44,0.51,<0.001,0,3,3,0,9,1,RRT < 1 yrs.,O1A3M3
0.74,0.71,0.77,<0.001,0,4,3,0,9,1,RRT < 1 yrs.,O1A3M4
0.42,0.41,0.43,<0.001,0,0,1,1,9,1,RRT 1 to 2.9 yrs.,O1A1M0
0.37,0.36,0.38,<0.001,0,1,1,1,9,1,RRT 1 to 2.9 yrs.,O1A1M1
0.59,0.53,0.66,<0.001,0,2,1,1,9,1,RRT 1 to 2.9 yrs.,O1A1M2
0.43,0.4,0.46,<0.001,0,3,1,1,9,1,RRT 1 to 2.9 yrs.,O1A1M3
0.51,0.49,0.53,<0.001,0,4,1,1,9,1,RRT 1 to 2.9 yrs.,O1A1M4
0.48,0.47,0.49,<0.001,0,0,2,1,9,1,RRT 1 to 2.9 yrs.,O1A2M0
0.43,0.42,0.45,<0.001,0,1,2,1,9,1,RRT 1 to 2.9 yrs.,O1A2M1
0.73,0.65,0.82,<0.001,0,2,2,1,9,1,RRT 1 to 2.9 yrs.,O1A2M2
0.43,0.4,0.46,<0.001,0,3,2,1,9,1,RRT 1 to 2.9 yrs.,O1A2M3
0.58,0.56,0.6,<0.001,0,4,2,1,9,1,RRT 1 to 2.9 yrs.,O1A2M4
0.55,0.54,0.57,<0.001,0,0,3,1,9,1,RRT 1 to 2.9 yrs.,O1A3M0
0.5,0.48,0.51,<0.001,0,1,3,1,9,1,RRT 1 to 2.9 yrs.,O1A3M1
0.68,0.61,0.77,<0.001,0,2,3,1,9,1,RRT 1 to 2.9 yrs.,O1A3M2
0.46,0.42,0.49,<0.001,0,3,3,1,9,1,RRT 1 to 2.9 yrs.,O1A3M3
0.72,0.69,0.75,<0.001,0,4,3,1,9,1,RRT 1 to 2.9 yrs.,O1A3M4
0.4,0.39,0.41,<0.001,0,0,1,2,9,1,RRT 3 to 4.9 yrs.,O1A1M0
0.36,0.34,0.37,<0.001,0,1,1,2,9,1,RRT 3 to 4.9 yrs.,O1A1M1
0.56,0.49,0.64,<0.001,0,2,1,2,9,1,RRT 3 to 4.9 yrs.,O1A1M2
0.42,0.38,0.46,<0.001,0,3,1,2,9,1,RRT 3 to 4.9 yrs.,O1A1M3
0.48,0.46,0.51,<0.001,0,4,1,2,9,1,RRT 3 to 4.9 yrs.,O1A1M4
0.45,0.44,0.47,<0.001,0,0,2,2,9,1,RRT 3 to 4.9 yrs.,O1A2M0
0.41,0.39,0.42,<0.001,0,1,2,2,9,1,RRT 3 to 4.9 yrs.,O1A2M1
0.7,0.61,0.8,<0.001,0,2,2,2,9,1,RRT 3 to 4.9 yrs.,O1A2M2
0.41,0.38,0.45,<0.001,0,3,2,2,9,1,RRT 3 to 4.9 yrs.,O1A2M3
0.55,0.52,0.57,<0.001,0,4,2,2,9,1,RRT 3 to 4.9 yrs.,O1A2M4
0.52,0.5,0.54,<0.001,0,0,3,2,9,1,RRT 3 to 4.9 yrs.,O1A3M0
0.47,0.45,0.49,<0.001,0,1,3,2,9,1,RRT 3 to 4.9 yrs.,O1A3M1
0.66,0.58,0.76,<0.001,0,2,3,2,9,1,RRT 3 to 4.9 yrs.,O1A3M2
0.45,0.41,0.5,<0.001,0,3,3,2,9,1,RRT 3 to 4.9 yrs.,O1A3M3
0.67,0.64,0.71,<0.001,0,4,3,2,9,1,RRT 3 to 4.9 yrs.,O1A3M4
0.45,0.44,0.46,<0.001,0,0,1,3,9,1,RRT > 5+ yrs.,O1A1M0
0.4,0.39,0.41,<0.001,0,1,1,3,9,1,RRT > 5+ yrs.,O1A1M1
0.63,0.57,0.7,<0.001,0,2,1,3,9,1,RRT > 5+ yrs.,O1A1M2
0.47,0.43,0.5,<0.001,0,3,1,3,9,1,RRT > 5+ yrs.,O1A1M3
0.59,0.57,0.62,<0.001,0,4,1,3,9,1,RRT > 5+ yrs.,O1A1M4
0.49,0.48,0.5,<0.001,0,0,2,3,9,1,RRT > 5+ yrs.,O1A2M0
0.44,0.43,0.45,<0.001,0,1,2,3,9,1,RRT > 5+ yrs.,O1A2M1
0.73,0.65,0.81,<0.001,0,2,2,3,9,1,RRT > 5+ yrs.,O1A2M2
0.43,0.4,0.47,<0.001,0,3,2,3,9,1,RRT > 5+ yrs.,O1A2M3
0.64,0.61,0.67,<0.001,0,4,2,3,9,1,RRT > 5+ yrs.,O1A2M4
0.52,0.5,0.53,<0.001,0,0,3,3,9,1,RRT > 5+ yrs.,O1A3M0
0.47,0.46,0.49,<0.001,0,1,3,3,9,1,RRT > 5+ yrs.,O1A3M1
0.61,0.55,0.68,<0.001,0,2,3,3,9,1,RRT > 5+ yrs.,O1A3M2
0.43,0.39,0.46,<0.001,0,3,3,3,9,1,RRT > 5+ yrs.,O1A3M3
0.68,0.65,0.72,<0.001,0,4,3,3,9,1,RRT > 5+ yrs.,O1A3M4
0.4,0.4,0.41,<0.001,0,0,1,0,10,1,Center hemodialysis,O1A1M0
0.36,0.35,0.36,<0.001,0,1,1,0,10,1,Center hemodialysis,O1A1M1
0.55,0.52,0.59,<0.001,0,2,1,0,10,1,Center hemodialysis,O1A1M2
0.41,0.4,0.43,<0.001,0,3,1,0,10,1,Center hemodialysis,O1A1M3
0.5,0.49,0.51,<0.001,0,4,1,0,10,1,Center hemodialysis,O1A1M4
0.46,0.46,0.47,<0.001,0,0,2,0,10,1,Center hemodialysis,O1A2M0
0.42,0.41,0.42,<0.001,0,1,2,0,10,1,Center hemodialysis,O1A2M1
0.68,0.64,0.73,<0.001,0,2,2,0,10,1,Center hemodialysis,O1A2M2
0.41,0.4,0.43,<0.001,0,3,2,0,10,1,Center hemodialysis,O1A2M3
0.57,0.55,0.58,<0.001,0,4,2,0,10,1,Center hemodialysis,O1A2M4
0.54,0.53,0.55,<0.001,0,0,3,0,10,1,Center hemodialysis,O1A3M0
0.49,0.48,0.5,<0.001,0,1,3,0,10,1,Center hemodialysis,O1A3M1
0.65,0.61,0.7,<0.001,0,2,3,0,10,1,Center hemodialysis,O1A3M2
0.45,0.43,0.47,<0.001,0,3,3,0,10,1,Center hemodialysis,O1A3M3
0.71,0.69,0.72,<0.001,0,4,3,0,10,1,Center hemodialysis,O1A3M4
0.42,0.36,0.48,<0.001,0,0,1,1,10,1,Home hemodialysis,O1A1M0
0.37,0.32,0.44,<0.001,0,1,1,1,10,1,Home hemodialysis,O1A1M1
0.93,0.44,1.96,0.841,0.8413,2,1,1,10,1,Home hemodialysis,O1A1M2
0.64,0.41,1,0.052,0.0521,3,1,1,10,1,Home hemodialysis,O1A1M3
0.52,0.4,0.69,<0.001,0,4,1,1,10,1,Home hemodialysis,O1A1M4
0.43,0.38,0.5,<0.001,0,0,2,1,10,1,Home hemodialysis,O1A2M0
0.39,0.33,0.46,<0.001,0,1,2,1,10,1,Home hemodialysis,O1A2M1
1.12,0.53,2.38,0.762,0.7622,2,2,1,10,1,Home hemodialysis,O1A2M2
0.64,0.41,0.99,0.047,0.0471,3,2,1,10,1,Home hemodialysis,O1A2M3
0.52,0.4,0.69,<0.001,0,4,2,1,10,1,Home hemodialysis,O1A2M4
0.51,0.44,0.6,<0.001,0,0,3,1,10,1,Home hemodialysis,O1A3M0
0.49,0.41,0.58,<0.001,0,1,3,1,10,1,Home hemodialysis,O1A3M1
0.84,0.37,1.89,0.665,0.6647,2,3,1,10,1,Home hemodialysis,O1A3M2
0.58,0.36,0.94,0.028,0.0283,3,3,1,10,1,Home hemodialysis,O1A3M3
0.56,0.42,0.75,<0.001,1.00E-04,4,3,1,10,1,Home hemodialysis,O1A3M4
0.43,0.4,0.45,<0.001,0,0,1,2,10,1,Peritoneal dialysis ,O1A1M0
0.34,0.31,0.37,<0.001,0,1,1,2,10,1,Peritoneal dialysis ,O1A1M1
0.65,0.5,0.85,0.001,0.0015,2,1,2,10,1,Peritoneal dialysis ,O1A1M2
0.5,0.42,0.59,<0.001,0,3,1,2,10,1,Peritoneal dialysis ,O1A1M3
0.56,0.51,0.62,<0.001,0,4,1,2,10,1,Peritoneal dialysis ,O1A1M4
0.5,0.47,0.53,<0.001,0,0,2,2,10,1,Peritoneal dialysis ,O1A2M0
0.41,0.38,0.45,<0.001,0,1,2,2,10,1,Peritoneal dialysis ,O1A2M1
0.8,0.61,1.04,0.098,0.0979,2,2,2,10,1,Peritoneal dialysis ,O1A2M2
0.49,0.41,0.58,<0.001,0,3,2,2,10,1,Peritoneal dialysis ,O1A2M3
0.63,0.58,0.7,<0.001,0,4,2,2,10,1,Peritoneal dialysis ,O1A2M4
0.55,0.52,0.59,<0.001,0,0,3,2,10,1,Peritoneal dialysis ,O1A3M0
0.46,0.42,0.5,<0.001,0,1,3,2,10,1,Peritoneal dialysis ,O1A3M1
0.73,0.55,0.96,0.026,0.0264,2,3,2,10,1,Peritoneal dialysis ,O1A3M2
0.49,0.41,0.58,<0.001,0,3,3,2,10,1,Peritoneal dialysis ,O1A3M3
0.76,0.68,0.84,<0.001,0,4,3,2,10,1,Peritoneal dialysis ,O1A3M4
0.4,0.4,0.41,<0.001,0,0,1,0,11,1,"Prior transplant, no",O1A1M0
0.36,0.35,0.36,<0.001,0,1,1,0,11,1,"Prior transplant, no",O1A1M1
0.56,0.53,0.6,<0.001,0,2,1,0,11,1,"Prior transplant, no",O1A1M2
0.41,0.4,0.43,<0.001,0,3,1,0,11,1,"Prior transplant, no",O1A1M3
0.5,0.49,0.51,<0.001,0,4,1,0,11,1,"Prior transplant, no",O1A1M4
0.46,0.45,0.46,<0.001,0,0,2,0,11,1,"Prior transplant, no",O1A2M0
0.41,0.41,0.42,<0.001,0,1,2,0,11,1,"Prior transplant, no",O1A2M1
0.69,0.65,0.74,<0.001,0,2,2,0,11,1,"Prior transplant, no",O1A2M2
0.41,0.4,0.43,<0.001,0,3,2,0,11,1,"Prior transplant, no",O1A2M3
0.56,0.55,0.57,<0.001,0,4,2,0,11,1,"Prior transplant, no",O1A2M4
0.54,0.53,0.55,<0.001,0,0,3,0,11,1,"Prior transplant, no",O1A3M0
0.48,0.48,0.49,<0.001,0,1,3,0,11,1,"Prior transplant, no",O1A3M1
0.66,0.62,0.71,<0.001,0,2,3,0,11,1,"Prior transplant, no",O1A3M2
0.45,0.43,0.47,<0.001,0,3,3,0,11,1,"Prior transplant, no",O1A3M3
0.71,0.69,0.72,<0.001,0,4,3,0,11,1,"Prior transplant, no",O1A3M4
0.56,0.52,0.6,<0.001,0,0,1,1,11,1,"Prior transplant, yes",O1A1M0
0.5,0.46,0.54,<0.001,0,1,1,1,11,1,"Prior transplant, yes",O1A1M1
0.64,0.45,0.91,0.012,0.0121,2,1,1,11,1,"Prior transplant, yes",O1A1M2
0.6,0.48,0.77,<0.001,0,3,1,1,11,1,"Prior transplant, yes",O1A1M3
0.7,0.62,0.79,<0.001,0,4,1,1,11,1,"Prior transplant, yes",O1A1M4
0.57,0.53,0.61,<0.001,0,0,2,1,11,1,"Prior transplant, yes",O1A2M0
0.51,0.47,0.56,<0.001,0,1,2,1,11,1,"Prior transplant, yes",O1A2M1
0.63,0.45,0.89,0.01,0.0096,2,2,1,11,1,"Prior transplant, yes",O1A2M2
0.59,0.46,0.75,<0.001,0,3,2,1,11,1,"Prior transplant, yes",O1A2M3
0.72,0.63,0.81,<0.001,0,4,2,1,11,1,"Prior transplant, yes",O1A2M4
0.58,0.54,0.63,<0.001,0,0,3,1,11,1,"Prior transplant, yes",O1A3M0
0.54,0.49,0.6,<0.001,0,1,3,1,11,1,"Prior transplant, yes",O1A3M1
0.59,0.41,0.84,0.004,0.0039,2,3,1,11,1,"Prior transplant, yes",O1A3M2
0.53,0.42,0.68,<0.001,0,3,3,1,11,1,"Prior transplant, yes",O1A3M3
0.7,0.61,0.79,<0.001,0,4,3,1,11,1,"Prior transplant, yes",O1A3M4
0.43,0.42,0.44,<0.001,0,0,1,0,12,1,Not for profit unit,O1A1M0
0.38,0.36,0.39,<0.001,0,1,1,0,12,1,Not for profit unit,O1A1M1
0.6,0.54,0.66,<0.001,0,2,1,0,12,1,Not for profit unit,O1A1M2
0.43,0.4,0.47,<0.001,0,3,1,0,12,1,Not for profit unit,O1A1M3
0.56,0.54,0.59,<0.001,0,4,1,0,12,1,Not for profit unit,O1A1M4
0.49,0.48,0.51,<0.001,0,0,2,0,12,1,Not for profit unit,O1A2M0
0.44,0.43,0.46,<0.001,0,1,2,0,12,1,Not for profit unit,O1A2M1
0.72,0.65,0.8,<0.001,0,2,2,0,12,1,Not for profit unit,O1A2M2
0.44,0.41,0.48,<0.001,0,3,2,0,12,1,Not for profit unit,O1A2M3
0.65,0.62,0.69,<0.001,0,4,2,0,12,1,Not for profit unit,O1A2M4
0.57,0.55,0.59,<0.001,0,0,3,0,12,1,Not for profit unit,O1A3M0
0.54,0.52,0.56,<0.001,0,1,3,0,12,1,Not for profit unit,O1A3M1
0.55,0.49,0.61,<0.001,0,2,3,0,12,1,Not for profit unit,O1A3M2
0.48,0.44,0.52,<0.001,0,3,3,0,12,1,Not for profit unit,O1A3M3
0.73,0.69,0.77,<0.001,0,4,3,0,12,1,Not for profit unit,O1A3M4
0.41,0.4,0.41,<0.001,0,0,1,1,12,1,For profit unit,O1A1M0
0.36,0.35,0.37,<0.001,0,1,1,1,12,1,For profit unit,O1A1M1
0.55,0.51,0.59,<0.001,0,2,1,1,12,1,For profit unit,O1A1M2
0.42,0.4,0.44,<0.001,0,3,1,1,12,1,For profit unit,O1A1M3
0.5,0.49,0.51,<0.001,0,4,1,1,12,1,For profit unit,O1A1M4
0.46,0.46,0.47,<0.001,0,0,2,1,12,1,For profit unit,O1A2M0
0.42,0.41,0.42,<0.001,0,1,2,1,12,1,For profit unit,O1A2M1
0.69,0.64,0.74,<0.001,0,2,2,1,12,1,For profit unit,O1A2M2
0.41,0.4,0.43,<0.001,0,3,2,1,12,1,For profit unit,O1A2M3
0.56,0.55,0.57,<0.001,0,4,2,1,12,1,For profit unit,O1A2M4
0.53,0.53,0.54,<0.001,0,0,3,1,12,1,For profit unit,O1A3M0
0.48,0.47,0.49,<0.001,0,1,3,1,12,1,For profit unit,O1A3M1
0.69,0.64,0.75,<0.001,0,2,3,1,12,1,For profit unit,O1A3M2
0.45,0.43,0.47,<0.001,0,3,3,1,12,1,For profit unit,O1A3M3
0.71,0.69,0.73,<0.001,0,4,3,1,12,1,For profit unit,O1A3M4
0.39,0.38,0.41,<0.001,0,0,1,0,13,1,Hospital-based unit,O1A1M0
0.35,0.34,0.37,<0.001,0,1,1,0,13,1,Hospital-based unit,O1A1M1
0.53,0.46,0.61,<0.001,0,2,1,0,13,1,Hospital-based unit,O1A1M2
0.37,0.33,0.41,<0.001,0,3,1,0,13,1,Hospital-based unit,O1A1M3
0.49,0.46,0.53,<0.001,0,4,1,0,13,1,Hospital-based unit,O1A1M4
0.46,0.44,0.48,<0.001,0,0,2,0,13,1,Hospital-based unit,O1A2M0
0.42,0.4,0.44,<0.001,0,1,2,0,13,1,Hospital-based unit,O1A2M1
0.65,0.56,0.74,<0.001,0,2,2,0,13,1,Hospital-based unit,O1A2M2
0.39,0.35,0.44,<0.001,0,3,2,0,13,1,Hospital-based unit,O1A2M3
0.59,0.55,0.63,<0.001,0,4,2,0,13,1,Hospital-based unit,O1A2M4
0.56,0.54,0.59,<0.001,0,0,3,0,13,1,Hospital-based unit,O1A3M0
0.54,0.51,0.57,<0.001,0,1,3,0,13,1,Hospital-based unit,O1A3M1
0.53,0.46,0.61,<0.001,0,2,3,0,13,1,Hospital-based unit,O1A3M2
0.45,0.4,0.51,<0.001,0,3,3,0,13,1,Hospital-based unit,O1A3M3
0.72,0.67,0.78,<0.001,0,4,3,0,13,1,Hospital-based unit,O1A3M4
0.4,0.39,0.41,<0.001,0,0,1,1,13,1,Independent unit,O1A1M0
0.36,0.35,0.38,<0.001,0,1,1,1,13,1,Independent unit,O1A1M1
0.6,0.51,0.7,<0.001,0,2,1,1,13,1,Independent unit,O1A1M2
0.39,0.36,0.43,<0.001,0,3,1,1,13,1,Independent unit,O1A1M3
0.46,0.44,0.48,<0.001,0,4,1,1,13,1,Independent unit,O1A1M4
0.45,0.43,0.46,<0.001,0,0,2,1,13,1,Independent unit,O1A2M0
0.41,0.4,0.43,<0.001,0,1,2,1,13,1,Independent unit,O1A2M1
0.73,0.63,0.86,<0.001,1.00E-04,2,2,1,13,1,Independent unit,O1A2M2
0.39,0.35,0.42,<0.001,0,3,2,1,13,1,Independent unit,O1A2M3
0.52,0.49,0.54,<0.001,0,4,2,1,13,1,Independent unit,O1A2M4
0.54,0.52,0.56,<0.001,0,0,3,1,13,1,Independent unit,O1A3M0
0.48,0.46,0.5,<0.001,0,1,3,1,13,1,Independent unit,O1A3M1
0.66,0.56,0.77,<0.001,0,2,3,1,13,1,Independent unit,O1A3M2
0.47,0.43,0.52,<0.001,0,3,3,1,13,1,Independent unit,O1A3M3
0.7,0.67,0.74,<0.001,0,4,3,1,13,1,Independent unit,O1A3M4
0.45,0.43,0.48,<0.001,0,0,1,2,13,1,Chain of 2-99 units,O1A1M0
0.37,0.34,0.39,<0.001,0,1,1,2,13,1,Chain of 2-99 units,O1A1M1
0.94,0.65,1.36,0.751,0.7515,2,1,2,13,1,Chain of 2-99 units,O1A1M2
0.46,0.41,0.53,<0.001,0,3,1,2,13,1,Chain of 2-99 units,O1A1M3
0.64,0.59,0.69,<0.001,0,4,1,2,13,1,Chain of 2-99 units,O1A1M4
0.51,0.48,0.54,<0.001,0,0,2,2,13,1,Chain of 2-99 units,O1A2M0
0.43,0.4,0.46,<0.001,0,1,2,2,13,1,Chain of 2-99 units,O1A2M1
1.15,0.79,1.67,0.467,0.4666,2,2,2,13,1,Chain of 2-99 units,O1A2M2
0.46,0.41,0.53,<0.001,0,3,2,2,13,1,Chain of 2-99 units,O1A2M3
0.73,0.67,0.8,<0.001,0,4,2,2,13,1,Chain of 2-99 units,O1A2M4
0.55,0.52,0.58,<0.001,0,0,3,2,13,1,Chain of 2-99 units,O1A3M0
0.48,0.44,0.51,<0.001,0,1,3,2,13,1,Chain of 2-99 units,O1A3M1
1.15,0.78,1.69,0.478,0.4784,2,3,2,13,1,Chain of 2-99 units,O1A3M2
0.47,0.41,0.54,<0.001,0,3,3,2,13,1,Chain of 2-99 units,O1A3M3
0.75,0.69,0.83,<0.001,0,4,3,2,13,1,Chain of 2-99 units,O1A3M4
0.41,0.4,0.41,<0.001,0,0,1,3,13,1,Chain of 100 or more units,O1A1M0
0.36,0.35,0.37,<0.001,0,1,1,3,13,1,Chain of 100 or more units,O1A1M1
0.55,0.51,0.59,<0.001,0,2,1,3,13,1,Chain of 100 or more units,O1A1M2
0.44,0.42,0.47,<0.001,0,3,1,3,13,1,Chain of 100 or more units,O1A1M3
0.51,0.5,0.52,<0.001,0,4,1,3,13,1,Chain of 100 or more units,O1A1M4
0.47,0.46,0.47,<0.001,0,0,2,3,13,1,Chain of 100 or more units,O1A2M0
0.42,0.41,0.43,<0.001,0,1,2,3,13,1,Chain of 100 or more units,O1A2M1
0.68,0.63,0.74,<0.001,0,2,2,3,13,1,Chain of 100 or more units,O1A2M2
0.44,0.41,0.46,<0.001,0,3,2,3,13,1,Chain of 100 or more units,O1A2M3
0.57,0.56,0.59,<0.001,0,4,2,3,13,1,Chain of 100 or more units,O1A2M4
0.54,0.53,0.55,<0.001,0,0,3,3,13,1,Chain of 100 or more units,O1A3M0
0.49,0.48,0.5,<0.001,0,1,3,3,13,1,Chain of 100 or more units,O1A3M1
0.68,0.63,0.73,<0.001,0,2,3,3,13,1,Chain of 100 or more units,O1A3M2
0.45,0.43,0.48,<0.001,0,3,3,3,13,1,Chain of 100 or more units,O1A3M3
0.71,0.69,0.73,<0.001,0,4,3,3,13,1,Chain of 100 or more units,O1A3M4
0.41,0.4,0.41,<0.001,0,0,1,0,14,1,Medicare parts A/B,O1A1M0
0.37,0.36,0.37,<0.001,0,1,1,0,14,1,Medicare parts A/B,O1A1M1
0.57,0.53,0.61,<0.001,0,2,1,0,14,1,Medicare parts A/B,O1A1M2
0.39,0.37,0.41,<0.001,0,3,1,0,14,1,Medicare parts A/B,O1A1M3
0.5,0.49,0.51,<0.001,0,4,1,0,14,1,Medicare parts A/B,O1A1M4
0.46,0.46,0.47,<0.001,0,0,2,0,14,1,Medicare parts A/B,O1A2M0
0.42,0.42,0.43,<0.001,0,1,2,0,14,1,Medicare parts A/B,O1A2M1
0.7,0.65,0.74,<0.001,0,2,2,0,14,1,Medicare parts A/B,O1A2M2
0.4,0.38,0.42,<0.001,0,3,2,0,14,1,Medicare parts A/B,O1A2M3
0.58,0.56,0.59,<0.001,0,4,2,0,14,1,Medicare parts A/B,O1A2M4
0.53,0.52,0.54,<0.001,0,0,3,0,14,1,Medicare parts A/B,O1A3M0
0.48,0.48,0.49,<0.001,0,1,3,0,14,1,Medicare parts A/B,O1A3M1
0.64,0.6,0.69,<0.001,0,2,3,0,14,1,Medicare parts A/B,O1A3M2
0.43,0.4,0.45,<0.001,0,3,3,0,14,1,Medicare parts A/B,O1A3M3
0.7,0.68,0.72,<0.001,0,4,3,0,14,1,Medicare parts A/B,O1A3M4
0.54,0.49,0.59,<0.001,0,0,1,1,14,1,"Medicare primary, other",O1A1M0
0.43,0.38,0.49,<0.001,0,1,1,1,14,1,"Medicare primary, other",O1A1M1
0.76,0.56,1.02,0.065,0.0647,2,1,1,14,1,"Medicare primary, other",O1A1M2
0.67,0.58,0.77,<0.001,0,3,1,1,14,1,"Medicare primary, other",O1A1M3
0.6,0.53,0.68,<0.001,0,4,1,1,14,1,"Medicare primary, other",O1A1M4
0.5,0.46,0.55,<0.001,0,0,2,1,14,1,"Medicare primary, other",O1A2M0
0.45,0.39,0.5,<0.001,0,1,2,1,14,1,"Medicare primary, other",O1A2M1
